,,累计确诊,新增确诊,现有确诊,现有疑似,新增疑似,累计治愈,新增治愈,累计死亡,新增死亡,隔离治疗,重症,危重症,累计追踪密切接触者,当日解除医学观察,正在接受医学观察,,,,,,,,,
,,累计确诊,新增确诊,现有确诊,现有疑似,新增疑似,累计治愈,新增治愈,累计死亡,新增死亡,隔离治疗,重症,危重症,累计追踪密切接触者,当日解除医学观察,正在接受医学观察,,,,,,,,,
2020.1.20,全国,291,77,263,54,27,25,0,3,0,,102,9,1739,817,922,,,,,,,,,
2020.1.20,北京,5,5,5,,,0,0,0,0,5,,1,23,,23,,,,,,,,,
2020.1.20,天津,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,河北,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,山西,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,内蒙古,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,辽宁,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,吉林,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,黑龙江,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,上海,1,1,1,,,0,0,0,0,1,,,2,,2,,,,,,,,,
2020.1.20,江苏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,浙江,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,安徽,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,福建,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,江西,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,山东,,,,1,1,,,,,,,,,,,,,,,,,,,
2020.1.20,河南,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,湖北,270,72,239,,,25,0,6,2,239,51,12,1070,739,331,,,,,,,,,
2020.1.20,湖南,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,广东,14,13,14,,,,,,,,4,2,,,,,,,,,,,,
2020.1.20,广西,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,海南,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,重庆,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,四川,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,贵州,,,,,,,,,,,,,,,2768,,,,,,,,,
2020.1.20,云南,0,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,西藏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,陕西,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,甘肃,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,青海,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.20,宁夏,3,3,3,,,,,,,,,,53,,53,,,,,,,,,
2020.1.20,新疆,5,2,5,,,,,,,,,,125,,125,,,,,,,,,
2020.1.21,全国,440,149,440,37,26,,,,,,102,,2197,765,1432,,,,,,,,,
2020.1.21,北京,22,7,22,,,,,,,,,,273,,273,,,,,,,,,
2020.1.21,天津,35,13,35,,,,,,,,2,,559,,286,,,,,,,,,
2020.1.21,河北,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.21,山西,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.21,内蒙古,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.21,辽宁,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.21,吉林,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.21,黑龙江,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.21,上海,9,8,9,10,10,0,0,0,0,9,,,,,,,,,,,,,,
2020.1.21,江苏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.21,浙江,5,5,5,,,0,0,,,,,,88,,88,,,,,,,,,
2020.1.21,安徽,,,,3,3,,,,,,,,,,,,,,,,,,,
2020.1.21,福建,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.21,江西,2,2,2,,,0,0,0,0,,2,0,49,0,49,,,,,,,,,
2020.1.21,山东,1,1,1,0,0,0,0,0,0,0,0,0,0,0,53,,,,,,,,,
2020.1.21,河南,1,1,1,0,0,0,0,0,0,,0,0,10986,677,964,,,,,,,,,
2020.1.21,湖北,375,105,338,,,28,3,9,3,338,65,23,1181,755,426,,,,,,,,,
2020.1.21,湖南,,,,,,,,,,,,,,,,,,,,,,,,
