,累计确诊,新增确诊,累计死亡,新增死亡
2020/2/3,15,,,
2020/2/4,16,1,,
2020/2/5,18,2,,
2020/2/6,23,5,,
2020/2/7,24,1,,
2020/2/8,24,0,,
2020/2/9,27,3,,
2020/2/10,27,0,,
2020/2/11,28,1,,
2020/2/12,28,0,,
2020/2/13,28,0,,
2020/2/14,28,0,,
2020/2/15,28,0,,
2020/2/16,29,1,,
2020/2/17,30,1,,
2020/2/18,31,1,,
2020/2/19,51,20,,
2020/2/20,104,53,1,1
2020/2/21,204,100,1,0
2020/2/22,346,142,2,1
2020/2/23,602,256,5,3
2020/2/24,763,161,7,2
2020/2/25,977,214,10,3
2020/2/26,1261,274,12,2
2020/2/27,1766,505,13,1
2020/2/28,2337,571,13,0
2020/2/29,3150,813,17,4
2020/3/1,3736,586,18,1
2020/3/2,4212,476,22,4
2020/3/3,4812,600,28,6
2020/3/4,5248,516,32,4
2020/3/5,5766,438,35,3
2020/3/6,6284,518,42,7
2020/3/7,6767,483,44,2
2020/3/8,7134,367,50,6
2020/3/9,7382,248,51,1
2020/3/10,7513,131,54,3
2020/3/11,7755,242,60,6
2020/3/12,7869,114,66,6
2020/3/13,7979,110,66,0
2020/3/14,8086,107,72,6
2020/3/15,8162,76,75,3
2020/3/16,8236,74,75,0
2020/3/17,8320,84,81,6
2020/3/18,8320,84,81,6
2020/3/19,8413,93,84,3
2020/3/20,8652,239,94,10
2020/3/21,8799,147,102,8
2020/3/22,8897,98,104,2
2020/3/23,8961,64,111,7
2020/3/24,9037,76,120,9
2020/3/25,9137,100,126,6
2020/3/26,9241,104,131,5
2020/3/27,9332,91,139,8
2020/3/28,9478,146,144,5
2020/3/29,9583,105,152,8
2020/3/30,9661,78,158,6
2020/3/31,9786,125,162,4
2020/4/1,9887,101,165,3
2020/4/2,9976,89,169,4
2020/4/3,,,,
2020/4/4,,,,
2020/4/5,,,,
2020/4/6,,,,
2020/4/7,,,,
2020/4/8,,,,
2020/4/9,,,,
2020/4/10,,,,
2020/4/11,,,,
2020/4/12,,,,
2020/4/13,,,,
2020/4/14,,,,
2020/4/15,,,,
2020/4/16,,,,
2020/4/17,,,,
2020/4/18,,,,
2020/4/19,,,,
2020/4/20,,,,
2020/4/21,,,,
